time step, x, y
100.0,0.7635230721824424,0.0015868979435317845
200.0,1.5171076861379449,0.0020660738681483326
300.0,2.2576615321964866,0.002099056990989584
400.0,2.9831969187126086,0.0014643029082874735
500.0,3.692719999863865,5.103941818951352e-05
600.0,4.385458474231111,-0.004239197326552424
700.0,5.058209259942688,-0.009751032286213657
800.0,5.711193901402114,-0.018472157106051768
900.0,6.344523170811413,-0.031396417609065634
1000.0,6.958086295968447,-0.047529967972268716
1100.0,7.551000203252897,-0.06797742622038727
1200.0,8.124369510688965,-0.09362186597414067
1300.0,8.677200372453997,-0.12457405943563304
1400.0,9.211369707991654,-0.15961861637807173
1500.0,9.728092907528287,-0.20063245624527612
1600.0,10.225271507216526,-0.24684327761800276
1700.0,10.704893198701988,-0.2980295360929226
1800.0,11.167951827807178,-0.3540804594677189
1900.0,11.614447394532347,-0.4149960477424792
2000.0,12.045262972497955,-0.479671682892804
2100.0,12.46039856170424,-0.5481073649187815
2200.0,12.859743389949406,-0.6193092479973871
2300.0,13.244291303055778,-0.6931665599267809
2400.0,13.6150361468464,-0.7695685285052731
2500.0,13.971867149119287,-0.8475213079103172
2600.0,14.31566738349518,-0.9259202801167976
2700.0,14.645553776353454,-1.005870063149817
2800.0,14.964286320758207,-1.085050648757958
2900.0,15.269988097266127,-1.1646774271679745
3000.0,18.065298302358197,-2.0052075321063763
100.0,0.8568063571076339,-0.011826513426544144
200.0,1.705051502307189,-0.03348692997774444
300.0,2.545033506294359,-0.0630035859157071
400.0,3.3744766346355224,-0.102056074282858
500.0,4.1936789580261316,-0.14866673134138209
600.0,5.002491441118484,-0.2038243889600183
700.0,5.799234490870104,-0.2652533127054836
800.0,6.583908107281009,-0.33295350257766543
900.0,7.356661325698693,-0.40593612670767854
1000.0,8.115665517733406,-0.4829142825311593
1100.0,8.860920683384498,-0.5638879700478933
1200.0,9.591587026131423,-0.6477193220411724
1300.0,10.307813581321437,-0.7334195066421895
1400.0,11.007771720564396,-0.8197016212861756
1500.0,11.691461443860474,-0.9065656659735024
1600.0,12.358042954688244,-0.9928737734872132
1700.0,13.007516253047715,-1.0786259438273074
1800.0,13.640030374286582,-1.1628333451250472
1900.0,14.255734353752873,-1.2445071455110517
2000.0,14.852352457012673,-1.3253269380281631
2100.0,15.432309453847616,-1.4026242977646886
2200.0,15.993180574476328,-1.4790676496321309
2300.0,16.53739058867995,-1.5519885687189523
2400.0,17.06266376202505,-1.623066648067951
2500.0,17.570137961728346,-1.6914620911576719
2600.0,18.060652984311314,-1.7583127652047348
2700.0,18.532529236731254,-1.8213429357758224
2800.0,18.987446312030386,-1.882828337304408
2900.0,19.42441537834023,-1.9426199344426007
3000.0,23.07660679503144,-2.4364406061916157
100.0,0.5730867341855111,-0.0007714275278838112
200.0,1.1301574994831476,-0.0022419548898209886
300.0,1.6722121192469126,-0.004430377305597595
400.0,2.1972697419885963,-0.006299280981069501
500.0,2.7072924239763863,-0.009885903064834905
600.0,3.200318108941981,-0.013153006408293456
700.0,3.678346443593721,-0.01613818145136471
800.0,4.138340367429002,-0.020784689242792247
900.0,4.582337117596201,-0.025130473513814824
1000.0,5.009336870741318,-0.02915673904453268
1100.0,5.418321008289657,-0.03384451396914635
1200.0,5.810308148815907,-0.03821277015356898
1300.0,6.183279850391269,-0.043223740511758216
